,stem,freq
12,optim,35
38,suppl,33
73,devel,32
151,opera,31
209,consi,29
63,analy,28
16,chain,28
118,syste,25
92,deman,24
69,logis,24
154,resea,23
101,decis,23
23,trans,22
54,netwo,21
91,manag,21
214,minim,21
78,produ,20
171,provi,20
208,progr,20
55,desig,20
350,appro,18
165,perfo,18
53,deliv,18
220,cost,17
221,integ,17
277,effic,17
353,addit,17
205,model,17
272,const,16
259,metho,16
71,data,16
106,multi,16
4,algor,16
162,techn,15
90,contr,15
294,time,15
215,costs,15
299,requi,15
7,simul,14
211,large,14
57,locat,14
158,signi,14
109,indus,14
96,inter,14
62,appli,14
174,probl,14
56,facil,13
159,facto,13
128,servi,13
112,focus,13
336,impro,13
166,impac,12
46,pande,12
1,gener,12
39,resil,12
358,infor,12
6,formu,12
354,manuf,12
244,order,12
25,route,12
173,routi,11
187,proce,11
202,uncer,11
266,compl,11
124,throu,11
141,prese,11
298,mixed,11
81,plann,11
257,scena,11
251,organ,11
146,capac,11
93,disru,11
338,envir,10
45,covid,10
326,chang,10
5,parti,10
344,objec,10
210,vehic,10
157,deter,10
44,durin,9
82,susta,9
21,truck,9
122,maxim,9
40,asses,9
26,short,9
258,distr,9
334,singl,9
123,profi,8
127,times,8
243,selec,8
279,inves,8
247,respo,8
239,condi,8
198,frame,8
70,retai,8
199,disas,8
301,consu,8
13,three,8
346,linea,8
341,enabl,8
30,conta,8
185,fleet,7
110,food,7
248,natur,7
3,mathe,7
10,strat,7
126,lead,7
27,dista,7
145,alloc,7
330,areas,7
134,test,7
51,cover,7
86,inven,7
52,drone,7
15,relie,6
14,human,6
289,carri,6
130,local,6
142,high,6
66,chara,6
304,retur,6
125,flexi,6
281,indic,6
203,stoch,6
176,heuri,6
269,sched,6
335,two-s,6
149,partn,6
88,quant,6
179,decom,5
212,size,5
175,combi,5
207,enhan,5
227,quali,5
148,insec,5
180,robus,5
98,regio,5
255,emerg,5
58,area,5
310,types,5
300,energ,5
95,track,5
265,detec,5
99,u.s.,5
32,traff,5
29,predi,5
132,assig,5
133,close,5
302,fulfi,5
170,physi,4
295,windo,4
168,conti,4
79,plan,4
65,store,4
42,port,4
213,vesse,4
85,learn,4
332,clust,4
35,shipp,4
33,unite,4
188,wareh,4
18,keywo,4
192,hyper,4
282,conte,4
250,non-p,4
196,digit,4
245,procu,4
147,addre,4
271,resou,4
115,stora,4
129,e-com,4
252,colla,4
108,autom,4
89,disco,4
160,influ,4
87,peris,4
331,hurri,3
348,risk,3
254,dynam,3
201,assis,3
351,makin,3
267,time-,3
225,persp,3
323,conge,3
240,aeria,3
327,stake,3
249,hunge,3
276,banks,3
234,path,3
305,elect,3
228,perce,3
280,vulne,3
296,batte,3
293,direc,3
226,natio,3
283,surve,3
359,stati,3
48,theor,3
31,water,3
2,share,3
144,stand,3
136,place,3
8,annea,3
169,parce,3
150,agenc,3
22,freig,3
131,searc,3
121,conso,3
37,marit,3
153,commu,3
268,post-,2
278,equit,2
270,volun,2
104,logit,2
260,preli,2
275,colum,2
274,relax,2
119,middl,2
116,losse,2
287,borde,2
120,mile,2
253,prepo,2
135,site,2
285,lane,2
75,float,2
288,cross,2
80,innov,2
357,senso,2
355,intel,2
11,bi-ob,2
19,relay,2
342,carbo,2
24,auton,2
340,mappi,2
339,marko,2
28,trave,2
36,inlan,2
47,queue,2
320,move,2
315,block,2
308,diver,2
60,np-ha,2
246,bank,2
292,deplo,2
138,group,2
0,solvi,2
178,bende,2
204,data-,2
161,machi,2
177,blood,2
163,inacc,2
156,agric,2
155,engin,2
181,meta-,2
223,priva,2
230,unman,2
222,rise,2
186,proto,2
164,recor,2
217,wind,2
189,intra,2
167,modul,2
190,paral,2
236,rescu,2
152,hours,2
218,farms,2
319,clean,1
314,swot,1
311,soft,1
312,saudi,1
216,offsh,1
325,cyber,1
313,arabi,1
324,equil,1
318,freed,1
49,littl,1
316,reloc,1
322,hybri,1
321,look-,1
328,expla,1
317,degre,1
172,fuzzy,1
140,shall,1
329,stagi,1
20,full,1
194,paths,1
200,housi,1
356,rfid,1
193,k-sho,1
191,unity,1
9,mutat,1
352,sense,1
17,type,1
349,twins,1
347,reman,1
345,p-hub,1
43,entry,1
343,loop,1
206,seapo,1
184,async,1
183,reser,1
182,testb,1
337,two-p,1
34,barge,1
309,charg,1
333,ageni,1
41,lared,1
50,p-ell,1
303,omnic,1
219,farm,1
261,3d-pr,1
229,decon,1
105,choic,1
107,newsv,1
231,aircr,1
111,crop,1
113,spoil,1
114,posth,1
264,debri,1
263,marin,1
262,shipb,1
232,hexag,1
103,neste,1
233,tesse,1
117,agrif,1
235,uavsâ€™,1
256,pre-p,1
237,irreg,1
238,windy,1
241,grid-,1
242,aucti,1
137,resid,1
143,schoo,1
273,lagra,1
102,assor,1
307,recha,1
76,life-,1
306,heter,1
59,ellip,1
139,stude,1
61,triti,1
64,mini-,1
67,barra,1
68,(colo,1
72,minin,1
297,repla,1
74,neckl,1
77,devic,1
195,branc,1
291,on-ti,1
290,hiera,1
224,brand,1
286,us-me,1
284,dedic,1
83,deep,1
84,reinf,1
94,signa,1
97,south,1
100,prici,1
197,twin,1
